,deal_status,single_model,multi_model
597,lost,0,1
598,lost,2,2
599,lost,4,3
600,won,24,17
601,lost,7,1
602,lost,0,1
603,lost,2,0
604,won,3,3
605,won,0,2
606,lost,0,1
607,lost,1,0
608,lost,1,0
609,lost,0,1
610,won,1,1
611,lost,4,3
612,won,0,3
613,lost,0,1
614,lost,1,0
615,won,3,0
616,lost,1,0
617,lost,0,1
618,lost,2,0
619,lost,1,0
620,lost,3,0
621,lost,1,0
622,lost,1,0
623,lost,1,0
624,lost,1,0
625,lost,0,1
626,won,3,0
627,lost,0,1
628,won,1,0
629,lost,8,1
630,lost,0,2
631,lost,1,0
632,lost,3,1
633,lost,0,1
634,lost,4,0
635,lost,3,3
636,lost,2,0
637,lost,0,2
638,lost,0,1
639,lost,3,0
640,lost,1,0
641,lost,0,1
642,lost,0,1
643,won,0,6
644,lost,1,2
645,won,1,5
646,lost,1,0
647,lost,0,1
648,lost,2,4
649,lost,1,0
650,lost,0,1
651,lost,1,0
652,won,2,5
653,lost,2,0
654,lost,0,1
655,lost,0,1
656,lost,1,1
657,lost,0,1
658,lost,2,1
659,lost,3,1
660,won,1,1
661,lost,6,5
662,won,0,2
663,lost,0,1
664,lost,4,1
665,lost,1,1
666,won,1,3
667,lost,0,1
668,lost,0,1
669,lost,2,0
670,lost,1,2
671,lost,0,1
672,lost,2,0
673,lost,0,2
674,won,0,1
675,won,0,4
676,lost,0,3
677,won,0,3
678,won,3,1
679,won,1,0
680,lost,0,1
681,won,1,2
682,won,2,4
683,lost,7,3
684,lost,3,2
685,won,2,4
686,lost,0,1
687,lost,2,0
688,won,0,1
689,lost,3,3
690,lost,1,0
691,lost,1,0
692,lost,0,1
693,won,0,1
694,lost,0,2
695,won,0,1
696,lost,0,2
697,lost,0,1
698,lost,1,0
699,lost,1,1
700,won,1,2
701,lost,1,1
702,lost,2,0
703,lost,3,1
704,lost,0,2
705,lost,2,0
706,lost,1,0
707,lost,0,1
708,won,0,1
709,lost,0,1
710,lost,1,0
711,won,0,10
712,lost,3,0
713,lost,0,1
714,lost,1,0
715,lost,3,0
716,lost,0,1
717,lost,1,1
718,lost,1,0
719,lost,1,0
720,lost,1,0
721,lost,1,0
722,lost,2,0
723,won,17,73
724,lost,1,0
725,won,0,1
726,lost,2,0
727,lost,0,1
728,won,2,0
729,won,0,7
730,lost,0,1
731,lost,1,0
732,lost,1,0
733,lost,0,1
734,lost,1,0
735,lost,0,2
736,won,1,0
737,lost,1,2
738,lost,2,0
739,won,0,5
740,lost,2,1
741,lost,1,0
742,lost,6,0
743,won,3,7
744,lost,0,1
745,lost,0,4
746,lost,1,0
747,lost,0,1
748,lost,1,1
749,lost,0,1
750,won,5,1
751,lost,0,1
752,lost,1,1
753,lost,0,1
754,lost,0,1
755,lost,0,1
756,lost,1,2
757,lost,1,0
758,won,0,7
759,won,4,10
760,lost,1,1
761,won,1,0
762,lost,0,1
763,lost,2,0
764,lost,1,1
765,lost,2,0
766,lost,1,0
767,lost,1,0
768,lost,0,1
769,lost,1,0
770,lost,0,4
771,lost,0,1
772,lost,0,1
773,lost,0,1
774,lost,0,1
775,lost,3,1
776,lost,2,1
777,lost,0,1
778,lost,0,1
779,lost,0,1
780,lost,0,1
781,lost,0,1
782,won,3,4
783,won,1,5
784,lost,0,1
785,lost,0,1
786,lost,0,1
787,lost,2,0
788,lost,1,0
789,lost,0,1
790,lost,0,1
791,lost,0,1
792,lost,2,0
793,lost,4,1
794,won,2,5
795,lost,1,0
796,lost,0,1
797,lost,0,1
798,lost,1,1
799,lost,0,1
800,lost,0,1
801,lost,0,1
802,lost,0,1
803,lost,0,1
804,lost,1,1
805,won,1,5
806,lost,3,1
807,lost,0,3
808,lost,1,0
809,won,0,2
810,lost,0,2
811,won,1,7
812,lost,1,0
813,lost,1,1
814,won,5,1
815,lost,0,1
816,lost,2,0
817,lost,0,1
818,lost,0,1
819,lost,1,0
820,won,7,4
821,lost,0,3
822,lost,1,0
823,lost,1,0
824,lost,2,0
825,lost,1,0
826,lost,1,2
827,lost,1,0
828,lost,0,2
829,lost,1,0
830,won,1,0
831,lost,2,0
832,lost,1,3
833,lost,0,1
834,lost,1,0
835,lost,4,3
836,lost,12,2
837,lost,1,0
838,lost,1,2
839,lost,0,1
840,won,1,1
841,lost,0,2
842,won,2,4
843,won,0,1
844,lost,0,1
845,lost,1,0
846,lost,1,1
847,won,5,1
848,lost,1,0
849,lost,0,1
850,lost,0,1
851,lost,2,0
852,won,1,0
853,won,0,3
854,lost,1,0
855,lost,1,1
856,lost,6,0
857,lost,0,2
858,won,2,1
859,lost,2,1
860,lost,3,1
861,lost,1,0
862,lost,1,0
863,lost,0,1
864,lost,1,1
865,won,0,3
866,lost,0,1
867,lost,0,1
868,won,2,5
869,lost,0,1
870,lost,3,0
871,lost,0,3
872,lost,1,1
873,lost,3,4
874,lost,0,2
875,lost,1,0
876,lost,0,1
877,won,5,1
878,lost,2,0
879,lost,1,0
880,lost,1,0
881,lost,0,1
882,lost,3,3
883,lost,9,1
884,lost,0,1
885,lost,1,1
886,lost,0,2
887,lost,1,0
888,lost,1,0
889,lost,7,1
890,lost,2,0
891,lost,0,1
892,lost,0,1
893,lost,1,0
894,won,2,1
895,lost,1,1
896,lost,4,0
897,lost,1,0
898,lost,0,1
899,lost,0,1
900,lost,0,1
901,lost,0,1
902,won,0,1
903,lost,2,2
904,lost,1,0
905,lost,2,2
906,lost,2,3
907,lost,2,0
908,lost,0,1
909,lost,1,4
910,lost,1,0
911,lost,6,2
912,won,0,1
913,lost,4,2
914,lost,1,0
915,lost,1,0
916,won,0,1
917,lost,0,1
918,lost,0,1
919,won,0,1
920,lost,6,4
921,lost,0,2
922,lost,2,0
923,lost,1,1
924,lost,0,3
925,lost,0,1
926,lost,1,1
927,lost,3,0
928,lost,2,2
929,lost,0,1
930,lost,0,1
931,lost,2,1
932,lost,2,1
933,lost,2,0
934,lost,0,1
935,won,5,6
936,lost,0,2
937,lost,2,2
938,lost,13,2
939,lost,1,0
940,lost,1,2
941,lost,0,1
942,lost,1,0
943,lost,0,1
944,lost,6,1
945,lost,0,2
946,lost,1,1
947,lost,0,1
948,lost,0,1
949,won,2,3
950,lost,0,1
951,lost,1,0
952,lost,1,0
953,lost,1,0
954,won,299,204
955,lost,6,0
956,lost,3,0
957,lost,1,0
958,lost,1,1
959,won,8,1
960,lost,0,1
961,won,4,6
962,won,2,2
963,won,2,1
964,won,0,1
965,lost,0,2
966,lost,1,0
967,lost,0,1
968,won,1,2
969,lost,0,2
970,lost,1,0
971,lost,0,1
972,lost,2,1
973,lost,1,2
974,lost,2,0
975,lost,0,2
976,lost,1,0
977,lost,3,0
978,lost,0,1
979,won,0,2
980,lost,1,0
981,won,3,6
982,won,0,1
983,lost,1,2
984,lost,3,1
985,lost,1,1
986,won,0,1
987,lost,1,2
988,won,0,1
989,lost,0,1
990,lost,0,1
991,lost,0,1
992,lost,0,2
993,won,2,1
994,lost,1,1
995,lost,1,0
996,lost,1,0
997,lost,1,0
998,lost,0,2
999,won,0,2
1000,lost,0,1
1001,lost,2,0
1002,lost,3,0
1003,lost,2,1
1004,lost,0,1
1005,won,0,3
1006,lost,1,0
1007,lost,42,3
1008,won,8,1
1009,lost,1,1
1010,lost,1,0
1011,lost,0,1
1012,lost,0,1
1013,lost,0,1
1014,lost,1,1
1015,lost,1,1
1016,lost,1,0
1017,won,0,1
1018,won,0,3
1019,won,0,1
1020,lost,0,3
1021,lost,0,1
1022,won,0,1
1023,lost,0,1
1024,won,1,3
1025,lost,1,0
1026,won,1,0
1027,lost,1,0
1028,lost,4,0
1029,lost,0,1
1030,lost,4,1
1031,won,5,1
1032,lost,2,0
1033,lost,1,0
1034,won,2,1
1035,lost,1,0
1036,lost,1,0
1037,lost,0,1
1038,lost,0,3
1039,lost,0,1
1040,lost,1,0
1041,lost,1,0
1042,won,4,0
1043,lost,0,1
1044,lost,0,3
1045,lost,0,3
1046,lost,1,0
1047,won,0,1
1048,lost,0,1
1049,lost,1,0
1050,won,0,2
1051,lost,1,0
1052,lost,1,0
1053,won,0,1
1054,lost,1,0
1055,lost,0,1
1056,lost,0,1
1057,won,0,1
1058,lost,1,1
1059,lost,37,0
1060,lost,1,1
1061,won,0,1
1062,lost,4,0
1063,won,0,3
1064,lost,2,0
1065,lost,1,0
1066,lost,1,0
1067,lost,0,1
1068,lost,1,1
1069,won,9,1
1070,lost,0,1
1071,lost,1,0
1072,lost,0,2
1073,lost,1,0
1074,won,2,8
1075,lost,1,0
1076,lost,0,1
1077,lost,3,2
1078,lost,1,0
1079,lost,1,0
1080,lost,0,7
1081,lost,1,0
1082,lost,0,2
1083,lost,1,0
1084,lost,0,1
1085,lost,1,0
1086,lost,0,1
1087,lost,0,1
1088,won,5,2
1089,lost,0,1
1090,lost,0,1
1091,lost,1,0
1092,lost,0,1
1093,lost,1,0
1094,won,0,8
1095,won,2,1
1096,won,7,6
1097,lost,0,1
1098,lost,0,2
1099,lost,2,0
1100,lost,1,0
1101,lost,0,1
1102,won,2,0
1103,lost,0,2
1104,won,1,7
1105,lost,0,1
1106,lost,0,1
1107,lost,0,1
1108,lost,1,1
1109,lost,1,1
1110,lost,0,1
1111,won,2,0
1112,lost,1,0
1113,won,0,1
1114,won,2,4
1115,won,1,1
1116,lost,0,1
1117,lost,0,4
1118,lost,0,1
1119,lost,0,1
1120,lost,1,0
1121,lost,0,2
1122,lost,2,1
1123,lost,1,0
1124,lost,0,1
1125,won,1,1
1126,lost,0,1
1127,won,0,3
1128,lost,0,1
1129,won,0,1
1130,lost,0,2
1131,lost,1,2
1132,won,0,1
1133,lost,2,4
1134,won,0,9
1135,won,5,12
1136,lost,1,0
1137,won,16,5
1138,won,0,1
1139,won,1,0
1140,lost,1,1
1141,lost,0,2
1142,won,0,1
1143,lost,1,0
1144,lost,1,0
1145,lost,1,1
1146,lost,1,0
1147,won,0,3
1148,won,0,2
1149,lost,1,0
1150,lost,1,1
1151,lost,0,1
1152,lost,1,0
1153,lost,1,3
1154,lost,1,0
1155,lost,2,1
1156,lost,1,3
1157,lost,1,0
1158,lost,0,1
1159,lost,0,1
1160,won,0,3
1161,lost,7,0
1162,lost,1,0
1163,lost,2,0
1164,lost,0,1
1165,lost,0,1
1166,lost,1,1
1167,won,0,18
1168,lost,0,1
1169,lost,0,2
1170,won,0,1
1171,won,3,7
1172,won,2,2
1173,lost,0,1
1174,won,0,1
1175,lost,1,3
1176,lost,1,0
1177,lost,0,1
1178,lost,1,0
1179,won,1,2
1180,lost,0,1
1181,lost,0,2
1182,lost,2,3
1183,won,4,1
1184,lost,1,0
1185,lost,1,2
1186,lost,1,0
1187,lost,0,3
1188,won,0,2
1189,lost,3,0
1190,lost,0,1
1191,lost,5,0
1192,lost,1,0
1193,lost,0,1
1194,lost,0,1
1195,lost,0,1
1196,lost,0,1
1197,lost,2,3
1198,lost,1,0
1199,lost,1,0
1200,lost,4,0
1201,lost,2,0
1202,lost,1,0
1203,lost,0,1
1204,lost,0,2
1205,lost,0,1
1206,won,8,0
1207,lost,3,0
1208,won,2,1
1209,lost,3,0
1210,lost,0,1
1211,lost,0,3
1212,lost,2,0
1213,lost,0,1
1214,lost,1,2
1215,lost,1,0
1216,lost,1,1
1217,lost,0,1
1218,lost,0,1
1219,lost,0,1
1220,lost,1,0
1221,lost,1,0
1222,lost,0,1
1223,won,1,1
1224,lost,0,2
1225,lost,2,0
1226,lost,2,0
1227,lost,1,0
1228,lost,1,0
1229,won,0,4
1230,won,0,2
1231,lost,0,2
1232,lost,2,0
1233,lost,1,0
1234,lost,0,1
1235,won,1,0
